"Month";"??ey";"Akureyri";"Dalatangi";"Gr?mssta?ir";"Keflav?k airport";"Kirkjub?jarklaustur";"Reykjav?k";"St?rh?f?i Westman Islands";"Stykkish?lmur"
"1964-02";14;2.4;29.4;2.8;26.7;19.5;15.5;15;21.5
"1964-03";5.9;5.9;27.8;9.5;15.9;30.7;16.3;18.2;8.2
"1964-04";8.1;28;59.6;4.3;5.2;13.5;6.2;9.9;12.2
"1964-05";17;7.4;28.3;7.5;9.8;34;4;9.5;5.2
"1964-06";5.6;2.4;52.7;7.2;29.7;27.5;12.3;28.6;20.3
"1964-07";10.2;9.2;11.2;20.3;15.8;19.7;10.9;18.4;14.7
"1964-08";24.5;16.5;27.1;14;11.9;14.4;10.7;8.1;8.5
"1964-09";4.5;5.2;25.7;9.5;25.9;34.6;13.4;26.3;4
"1964-10";27.2;15.4;5.9;6.3;24.4;49.1;15.6;26.9;13.2
"1964-11";12.4;4.5;21.5;8.1;19;23.6;19.3;30;14.3
"1964-12";20.6;21.2;18.3;6.5;40.1;50.4;11.6;53;7.2
"1965-01";14.7;27.4;22.5;5.2;22.4;28.1;12.6;39;15.4
"1965-02";10.8;6.8;11;7.5;17.1;8;16.1;19;7.8
"1965-03";3.6;5.5;17.2;5.2;8.8;31.1;5.8;7.4;7.1
"1965-04";15.3;4.5;32.7;6.7;8.3;25.4;9.6;16.8;14.2
"1965-05";0.6;6.7;32.6;1.5;7.5;18.7;6.2;11.9;4.3
"1965-06";5.5;4.6;64;7.5;11.8;28.3;8.1;13.7;12.6
"1965-07";9;8.6;14.2;3.7;12.8;38.7;6.3;21.5;6.4
"1965-08";15.2;3.4;44.9;4.7;11.5;35.6;5;23.7;4.2
"1965-09";9;8.4;38;6.5;19.2;24.5;14.3;40.5;14.5
"1965-10";19.9;9.1;28;3.7;29.8;39.6;35.7;31.4;48.5
"1965-11";6.3;14.9;13.3;8.5;17.6;12.6;20.2;24.7;18
"1965-12";6.6;6.5;44.9;2.2;10.3;25.4;22.8;10.4;9.4
"1966-01";23;11.2;58.1;6.7;15.3;64.8;22.2;33.8;10
"1966-02";14.9;11.5;25;4;8.2;7.1;3.3;15.8;13.8
"1966-03";8;6.7;30;4;20.3;27;14.8;33.6;6.7
"1966-04";6;7.5;58.3;2.3;19.9;18.4;8.8;50.2;13.7
"1966-05";6.8;3.3;26.9;7.2;20.5;38.2;8.5;53.4;8.1
"1966-06";7.2;8.1;41.2;8.8;16.4;40.8;10.2;29.2;12.5
"1966-07";5.7;20;9.9;25;11.9;26.2;34.1;12.3;12.9
"1966-08";8.3;4.5;33.6;9.2;71.9;68.1;31;69.5;44.7
"1966-09";9.4;2.9;38.4;6.2;19.9;20;12;9.4;20.5
